image,ssim,lpips,q,vit_pred,vit_fooled,dct_pred,dct_fooled,pair_score
TEST_REAL/001599_1024x1024.jpg,0.9997,0.0003,0.9997,Real,1,Real,1,1.9995
TEST_REAL/001523_1024x1024.jpg,0.9998,0.0001,0.99985,Real,1,Real,1,1.9997
TEST_REAL/001600_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001508_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001589_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001576_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001529_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001501_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001546_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001515_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001567_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001542_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001551_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001574_1024x1024.jpg,0.9997,0.0002,0.99975,Real,1,Real,1,1.9995
TEST_REAL/001557_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001591_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001545_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001541_1024x1024.jpg,0.9992,0.0017,0.99875,Real,1,Real,1,1.9975
TEST_REAL/001544_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001573_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001543_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001556_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
TEST_REAL/001539_1024x1024.jpg,1.0,0.0,1.0,Real,1,Real,1,2.0
